Parcel ID,Address
634182001,62 10TH ST NE
634182003,78 10TH ST NE
634183006, 10TH ST NE
634279019,1000 5TH AVE NE
635155005,911 9TH AVE NE
634183004,88 10TH ST NE
634260003,1007 2ND AVE NE
635155008,914 8TH AVE NE
635155004,815 10TH ST NE
634279018,1000 5TH AVE NE
634261009,1001 5TH AVE NE
635156001,914 9TH AVE NE
635156002,915 10TH ST NE
635157006,914 10TH ST NE
635157007,1007 10TH ST NE
634261010,300 10TH ST NE
635157004,1013 10TH ST NE
635152002,800 10TH ST NE
635152001,1004 8TH AVE NE
635152003,808 10TH ST NE
635152004,812 10TH ST NE
635152005,814 10TH ST NE
635153001,900 10TH ST NE
635153002,904 10TH ST NE
635153003,916 10TH ST NE
635154002,1010 10TH ST NE
634406005,700 2ND AVE NE
634331008,72 7TH ST NE
634331009,701 NELSON AVE NE
634332003,80 7TH ST NE
634481013,601 4TH ST NE
634482015, 7TH AVE NE
634476006,405 6TH AVE NE
634476003,510 4TH ST NE
634412012,606 4TH AVE NE
634437014,610 5TH ST NE
634481014,312 6TH AVE NE
634458022,214 2ND AVE NE
635306013,518 8TH AVE NE
634452006,417 3RD AVE NE
634433005,600 5TH AVE NE
634334004,619 CENTER AVE NE
634334001,619 CENTER AVE NE
634433002,612 5TH AVE NE
634408009,402 7TH ST NE
634432012,705 8TH AVE NE
634330004,715 CENTER AVE NE
634188003,815 CENTER AVE NE
634186008,93 10TH ST NE
635159002,810 9TH AVE NE
634187001,101 10TH ST NE
634154001,950 WEST AVE NE
635359003,1001 3RD ST NE
634480012,518 3RD ST NE
635351011,822 3RD ST NE
634478003,405 8TH AVE NE
634340001,83 6TH ST NE
634434003,608 6TH AVE NE
635306011,509 9TH AVE NE
1003251010,207 TERRACE DR SE
1003251014,225 TERRACE DR SE
1003252017,1216 3RD ST SE
635382002,138 14TH AVE NE
635359005,1013 3RD ST NE
635382010,138 15TH AVE NE
1003405004,611 14TH AVE SE
1003403005,519 UPPER TERRACE DR SE
1003403004,515 UPPER TERRACE DR SE
1003403003,511 UPPER TERRACE DR
1003403006,523 UPPER TERRACE DR SE
