Address,City,Source,City ID,Image Name,image url,API Key,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 702 MARSHALL ST ,Slater,G,S,G_S_702 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=702+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 615 8TH AVE ,Slater,G,S,G_S_615 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=615+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 635 GREENE ST ,Slater,G,S,G_S_635 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=635+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 702 TAMA CIR ,Slater,G,S,G_S_702 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=702+TAMA+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 611 8TH AVE ,Slater,G,S,G_S_611 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=611+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 206 9TH AVE ,Slater,G,S,G_S_206 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 400 9TH AVE UNIT 1 ,Slater,G,S,G_S_400 9TH AVE UNIT 1.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=400+9TH+AVE+UNIT+1,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 102 9TH AVE ,Slater,G,S,G_S_102 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 305 10TH AVE ,Slater,G,S,G_S_305 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 203 10TH AVE ,Slater,G,S,G_S_203 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=203+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 300 10TH AVE ,Slater,G,S,G_S_300 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=300+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 108 10TH AVE ,Slater,G,S,G_S_108 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=108+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 104 10TH AVE ,Slater,G,S,G_S_104 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 300 10TH AVE ,Slater,G,S,G_S_300 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=300+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 612 8TH AVE ,Slater,G,S,G_S_612 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=612+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 700 PARK CIR ,Slater,G,S,G_S_700 PARK CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+PARK+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 606 8TH AVE ,Slater,G,S,G_S_606 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=606+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 200 8TH AVE ,Slater,G,S,G_S_200 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=200+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 102 8TH AVE ,Slater,G,S,G_S_102 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 602 MARSHALL ST ,Slater,G,S,G_S_602 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=602+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
